ID,UpperMode,LowerMode,MatchRate
559.0,TS,TG,0.9941520467836257
563.0,TG,TS,0.9836065573770493
568.0,GG,TS,0.9876543209876544
569.0,TG,TS,0.9876543209876544
577.0,GSD,GG,0.7317073170731708
583.0,GSD,TS,0.0
584.0,GSD,TS,0.0
612.0,GSD,TS,0.0
616.0,GSD,TG,0.0
629.0,GSD,TS,0.0
636.0,TS,GSD,0.9090909090909091
637.0,TS,GSD,0.0
638.0,TS,GSD,0.9677419354838709
640.0,TS,GSD,0.0
647.0,TS,TG,0.9090909090909091
680.0,TS,TG,0.9090909090909091
691.0,GSD,GG,0.5882352941176471
692.0,GSD,GG,0.0
695.0,GSD,TS,0.0
696.0,TG,TS,0.989010989010989
700.0,TS,GG,0.9803921568627452
701.0,TG,GG,0.9900990099009901
702.0,GSD,GG,0.0
709.0,TS,TG,0.0
710.0,TS,TG,0.8247422680412371
715.0,GSD,TG,0.9090909090909091
722.0,TS,GG,0.989010989010989
723.0,TS,GG,0.8287292817679557
724.0,TS,GG,0.617283950617284
730.0,TG,GG,0.9876543209876544
731.0,TG,GG,0.9876543209876544
736.0,GG,TG,0.7734806629834253
751.0,TS,TG,0.9900990099009901
752.0,TS,TG,0.14084507042253522
766.0,TG,TS,0.9900990099009901
767.0,TG,TS,0.916030534351145
768.0,GSD,TS,0.0
803.0,GSD,TS,0.9523809523809523
804.0,GSD,TS,0.14084507042253522
806.0,GSD,TS,0.0
809.0,GSD,TG,0.9163346613545816
810.0,TS,TG,0.7692307692307693
813.0,TG,TS,0.9900990099009901
817.0,GG,TS,0.0
818.0,GSD,TS,0.0
820.0,GSD,GG,0.0
821.0,GSD,GG,0.0
825.0,TS,GG,0.3603603603603604
827.0,TS,GG,0.0
834.0,GG,GSD,0.0
845.0,GG,GSD,0.0
855.0,GSD,TS,0.1234567901234568
861.0,GSD,TG,0.3225806451612903
863.0,TS,TG,0.819672131147541
864.0,TS,TG,0.5494505494505495
889.0,GSD,TG,0.47619047619047616
890.0,TS,TG,0.9937888198757763
892.0,GSD,TG,0.9090909090909091
948.0,GSD,GG,0.7317073170731708
953.0,GSD,GG,0.0
978.0,GG,TS,0.0
979.0,GSD,TS,0.0
982.0,TS,TG,0.8910891089108911
983.0,TS,TG,0.8910891089108911
997.0,GSD,GG,0.9803921568627452
998.0,GSD,GG,0.819672131147541
1000.0,TG,GG,0.0
1002.0,TS,GG,0.7317073170731708
1003.0,TG,GG,0.8450704225352114
1004.0,TS,GG,0.990990990990991
1017.0,GG,TG,0.9090909090909091
1020.0,GG,TG,0.49504950495049505
1021.0,GSD,TG,0.851063829787234
1029.0,TS,TG,0.6106870229007634
1031.0,GSD,TG,0.0
1034.0,TS,TG,0.6106870229007634
1035.0,GSD,TG,0.0
1039.0,GG,TS,0.819672131147541
1040.0,GSD,TS,0.9090909090909091
1044.0,GG,TS,0.0
1045.0,GG,TS,0.0
1055.0,GG,GSD,0.9523809523809523
1066.0,GSD,TS,0.578512396694215
1068.0,TG,TS,0.9876543209876544
1069.0,GG,TS,0.10989010989010989
1072.0,GG,TS,0.819672131147541
1073.0,GSD,TS,0.989010989010989
1074.0,GG,TS,0.990990990990991
1081.0,TS,TG,0.5882352941176471
1083.0,GG,TG,0.0
1124.0,TS,TG,0.778816199376947
1126.0,GSD,TG,0.0
1131.0,GSD,GG,0.0
1143.0,GSD,GG,0.0
1146.0,GG,TS,0.7843137254901962
1148.0,GSD,TS,0.9876543209876544
1149.0,GSD,TS,0.7207207207207208
1150.0,GSD,TS,0.0
1159.0,GG,TS,0.3703703703703704
1161.0,TG,TS,0.8900523560209423
1162.0,GG,TS,0.7042253521126761
1175.0,GSD,GG,0.48780487804878053
1176.0,GSD,GG,0.3921568627450981
1178.0,TS,GG,0.7843137254901962
1179.0,TG,GG,0.9523809523809523
1181.0,TS,TG,0.9929078014184397
1183.0,TS,TG,0.8641975308641976
1188.0,TS,GG,0.8641975308641976
1189.0,TG,GG,0.9836065573770493
1226.0,GG,TS,0.8791208791208791
1228.0,GSD,TS,0.0
1240.0,GSD,TS,0.1639344262295082
1241.0,TG,TS,0.49180327868852464
1244.0,GSD,TS,0.0
1258.0,GG,TS,0.3225806451612903
1262.0,TG,TS,0.9859154929577465
